year,month,day,hour,half,equsid
2018,1,14,15,0,"{2, 3, 4}"
2018,1,14,15,0,"{2, 3, 4}"
2018,1,14,15,0,"{2, 3, 4}"
2018,1,14,15,1,"{2, 3, 4}"
2018,1,14,15,1,"{2, 3, 4}"
2018,1,14,15,1,"{2, 3, 4}"
2018,1,14,16,0,"{2, 3, 4}"
2018,1,14,16,0,"{2, 3, 4}"
2018,1,14,16,0,"{2, 3, 4}"
2018,1,14,16,1,"{2, 3, 4}"
2018,1,14,16,1,"{2, 3, 4}"
2018,1,14,16,1,"{2, 3, 4}"
2018,1,14,17,0,"{2, 3, 4}"
2018,1,14,17,0,"{2, 3, 4}"
2018,1,14,17,0,"{2, 3, 4}"
2018,1,14,17,1,"{2, 3, 4}"
2018,1,14,17,1,"{2, 3, 4}"
2018,1,14,17,1,"{2, 3, 4}"
2018,1,14,18,0,"{2, 3, 4}"
2018,1,14,18,0,"{2, 3, 4}"
2018,1,14,18,0,"{2, 3, 4}"
2018,1,14,18,1,"{2, 3, 4}"
2018,1,14,18,1,"{2, 3, 4}"
2018,1,14,18,1,"{2, 3, 4}"
2018,1,14,19,0,"{2, 3, 4}"
2018,1,14,19,0,"{2, 3, 4}"
2018,1,14,19,0,"{2, 3, 4}"
2018,1,14,19,1,"{2, 3, 4}"
2018,1,14,19,1,"{2, 3, 4}"
2018,1,14,19,1,"{2, 3, 4}"
2018,1,14,20,0,"{2, 3, 4}"
2018,1,14,20,0,"{2, 3, 4}"
2018,1,14,20,0,"{2, 3, 4}"
2018,1,14,20,1,"{2, 3, 4}"
2018,1,14,20,1,"{2, 3, 4}"
2018,1,14,20,1,"{2, 3, 4}"
2018,1,14,21,0,"{2, 3, 4}"
2018,1,14,21,0,"{2, 3, 4}"
2018,1,14,21,0,"{2, 3, 4}"
2018,1,14,21,1,"{2, 3, 4}"
2018,1,14,21,1,"{2, 3, 4}"
2018,1,14,21,1,"{2, 3, 4}"
2018,1,14,22,0,"{2, 3, 4}"
2018,1,14,22,0,"{2, 3, 4}"
2018,1,14,22,0,"{2, 3, 4}"
2018,1,14,22,1,"{2, 3, 4}"
2018,1,14,22,1,"{2, 3, 4}"
2018,1,14,22,1,"{2, 3, 4}"
2018,1,14,23,0,"{2, 3, 4}"
2018,1,14,23,0,"{2, 3, 4}"
2018,1,14,23,0,"{2, 3, 4}"
2018,1,14,23,1,"{2, 3, 4}"
2018,1,14,23,1,"{2, 3, 4}"
2018,1,14,23,1,"{2, 3, 4}"
2018,1,15,0,0,"{2, 3, 4}"
2018,1,15,0,0,"{2, 3, 4}"
2018,1,15,0,0,"{2, 3, 4}"
2018,1,15,0,1,"{2, 3, 4}"
2018,1,15,0,1,"{2, 3, 4}"
2018,1,15,0,1,"{2, 3, 4}"
2018,1,15,1,0,"{2, 3, 4}"
2018,1,15,1,0,"{2, 3, 4}"
2018,1,15,1,0,"{2, 3, 4}"
2018,1,15,1,1,"{2, 3, 4}"
2018,1,15,1,1,"{2, 3, 4}"
2018,1,15,1,1,"{2, 3, 4}"
2018,1,15,2,0,"{2, 3, 4}"
2018,1,15,2,0,"{2, 3, 4}"
2018,1,15,2,0,"{2, 3, 4}"
2018,1,15,2,1,"{2, 3, 4}"
2018,1,15,2,1,"{2, 3, 4}"
2018,1,15,2,1,"{2, 3, 4}"
2018,1,15,3,0,"{2, 3, 4}"
2018,1,15,3,0,"{2, 3, 4}"
2018,1,15,3,0,"{2, 3, 4}"
2018,1,15,3,1,"{2, 3, 4}"
2018,1,15,3,1,"{2, 3, 4}"
2018,1,15,3,1,"{2, 3, 4}"
2018,1,15,4,0,"{2, 3, 4}"
2018,1,15,4,0,"{2, 3, 4}"
2018,1,15,4,0,"{2, 3, 4}"
2018,1,15,4,1,"{2, 3, 4}"
2018,1,15,4,1,"{2, 3, 4}"
2018,1,15,4,1,"{2, 3, 4}"
2018,1,15,5,0,"{2, 3, 4}"
2018,1,15,5,0,"{2, 3, 4}"
2018,1,15,5,0,"{2, 3, 4}"
2018,1,15,5,1,"{2, 3, 4}"
2018,1,15,5,1,"{2, 3, 4}"
2018,1,15,5,1,"{2, 3, 4}"
2018,1,15,6,0,"{2, 3, 4}"
2018,1,15,6,0,"{2, 3, 4}"
2018,1,15,6,0,"{2, 3, 4}"
2018,1,15,6,1,"{2, 3, 4}"
2018,1,15,6,1,"{2, 3, 4}"
2018,1,15,6,1,"{2, 3, 4}"
2018,1,15,7,0,"{2, 3, 4}"
2018,1,15,7,0,"{2, 3, 4}"
2018,1,15,7,0,"{2, 3, 4}"
2018,1,15,7,1,"{2, 3, 4}"
2018,1,15,7,1,"{2, 3, 4}"
2018,1,15,7,1,"{2, 3, 4}"
2018,1,15,8,0,"{2, 3, 4}"
2018,1,15,8,0,"{2, 3, 4}"
2018,1,15,8,0,"{2, 3, 4}"
2018,1,15,8,1,"{2, 3, 4}"
2018,1,15,8,1,"{2, 3, 4}"
2018,1,15,8,1,"{2, 3, 4}"
2018,1,15,9,0,"{2, 3, 4}"
2018,1,15,9,0,"{2, 3, 4}"
2018,1,15,9,0,"{2, 3, 4}"
2018,1,15,9,1,"{2, 3, 4}"
2018,1,15,9,1,"{2, 3, 4}"
2018,1,15,9,1,"{2, 3, 4}"
2018,1,15,10,0,"{2, 3, 4}"
2018,1,15,10,0,"{2, 3, 4}"
2018,1,15,10,0,"{2, 3, 4}"
2018,1,15,10,1,"{2, 3, 4}"
2018,1,15,10,1,"{2, 3, 4}"
2018,1,15,10,1,"{2, 3, 4}"
2018,1,15,11,0,"{2, 3, 4}"
2018,1,15,11,0,"{2, 3, 4}"
2018,1,15,11,0,"{2, 3, 4}"
2018,1,15,11,1,"{2, 3, 4}"
2018,1,15,11,1,"{2, 3, 4}"
2018,1,15,11,1,"{2, 3, 4}"
2018,1,15,12,0,"{2, 3, 4}"
2018,1,15,12,0,"{2, 3, 4}"
2018,1,15,12,0,"{2, 3, 4}"
2018,1,15,12,1,"{2, 3, 4}"
2018,1,15,12,1,"{2, 3, 4}"
2018,1,15,12,1,"{2, 3, 4}"
2018,1,15,13,0,"{2, 3, 4}"
2018,1,15,13,0,"{2, 3, 4}"
2018,1,15,13,0,"{2, 3, 4}"
2018,1,15,13,1,"{2, 3, 4}"
2018,1,15,13,1,"{2, 3, 4}"
2018,1,15,13,1,"{2, 3, 4}"
2018,1,15,14,0,"{2, 3, 4}"
2018,1,15,14,0,"{2, 3, 4}"
2018,1,15,14,0,"{2, 3, 4}"
2018,1,15,14,1,"{2, 3, 4}"
2018,1,15,14,1,"{2, 3, 4}"
